obsid,x,y,layer
wp1-f1,-38,0,11
wp1-f2,-38,0,7
wp1-f3,-38,0,4
wp1-f4,-38,0,1
wp1-f5,-38,0,0
wp2-f1,12,0,11
wp2-f2,12,0,7
wp2-f3,12,0,3
wp2-f4,12,0,1
wp2-f5,12,0,0
wp3-f1,-8,0,9
wp3-f2,-8,0,7
wp3-f3,-8,0,4
wp3-f4,-8,0,1
wp3-f5,-8,0,0
wp4-f1,22,0,11
wp4-f5,22,0,0
pp1-f1,-98,0,4
pp1-f2,-98,0,1
pp1-f3,-98,0,1
ip2-f1,0,0,11
ip2-f5,0,0,0
